Pfam keyword	Pfam term
GP11	GP11 baseplate wedge protein
DUF1067	Protein of unknown function (DUF1067)
DUF1065	Protein of unknown function (DUF1065)
DUF1064	Protein of unknown function (DUF1064)
DUF1062	Protein of unknown function (DUF1062)
DUF1069	Protein of unknown function (DUF1069)
DUF1068	Protein of unknown function (DUF1068)
SPX	SPX domain
Blt1	Cell-cycle control medial ring component
KLRAQ	Predicted coiled-coil domain-containing protein
SPW	SPW repeat
SPK	Domain of unknown function (DUF545)  
MSSP	Male specific sperm protein
AbrB	AbrB-like transcriptional regulator
SP2	Structural protein 2
XPG	XPG N-terminal domain
OPA3	Optic atrophy 3 protein (OPA3)
PQQ	PQQ enzyme repeat
PRP3	pre-mRNA processing factor 3 (PRP3)
BEN	BEN domain
Prp31	Prp31 C terminal domain
BED	BED zinc finger
BEX	Brain expressed X-linked like family 
Rtf2	Replication termination factor 2
Mak10	Mak10 subunit, NatC N(alpha)-terminal acetyltransferase
Mak16	Mak16 protein C-terminal region
GRP	Glycine rich protein family
MurB	UDP-N-acetylenolpyruvoylglucosamine reductase, C-terminal domain
GRF	GRF zinc finger
NOD	NOTCH protein
NOPS	NOPS (NUC059) domain
MiAMP1	MiAMP1
YukD	WXG100 protein secretion system (Wss), protein YukD
YukC	WXG100 protein secretion system (Wss), protein YukC
HLH	Helix-loop-helix DNA-binding domain
Npa1	Ribosome 60S biogenesis N-terminal
DUF3920	Protein of unknown function (DUF3920)
DUF77	Domain of unknown function DUF77
DUF70	Protein of unknown function  DUF70
DUF72	Protein of unknown function DUF72
DUF2808	Protein of unknown function (DUF2808)
DUF2809	Protein of unknown function (DUF2809)
DUF2800	Protein of unknown function (DUF2800)
DUF3696	Protein of unknown function (DUF3696)
DUF2802	Protein of unknown function (DUF2802)
DUF2803	Protein of unknown function (DUF2803)
DUF2804	Protein of unknown function (DUF2804)
DUF2805	Protein of unknown function (DUF2805)
DUF2806	Protein of unknown function (DUF2806)
DUF2807	Protein of unknown function (DUF2807)
CopD	Copper resistance protein D
Mer2	Mer2
DUF3695	Protein of unknown function (DUF3695) 
CopK	Copper resistance protein K
MerR	MerR family regulatory protein
MerT	MerT mercuric transport protein
DHDPS	Dihydrodipicolinate synthetase family
FAM110	Centrosome-associated C terminus|Centrosome-associated N terminus
SPA	Stabilisation of polarity axis
IBP39	Initiator binding protein 39 kDa
MerC	MerC mercury resistance protein
MerE	MerE protein
RLL	Putative carnitine deficiency-associated protein
RLI	Possible Fer4-like domain in RNase L inhibitor, RLI
Sfi1	Sfi1 spindle body protein|Spindle body associated protein C-terminus  
LMP	LMP repeated region
FERM	FERM C-terminal PH-like domain|FERM N-terminal domain 
YscK	YOP proteins translocation protein K (YscK)
ecTbetaR2	Transforming growth factor beta receptor 2 ectodomain
FRG1	FRG1-like family
GnRH	Gonadotropin-releasing hormone
DUF4150	Domain of unknown function (DUF4150)
DUF4151	Domain of unknown function (DUF4151)
DUF4152	Protein of unknown function (DUF4152)
DUF4153	Domain of unknown function (DUF4153)
DUF4154	Domain of unknown function (DUF4154)
DUF4407	Domain of unknown function (DUF4407)
